throughput, loss, CPU host, CPU remote, streams, country, connection, client, IP, time, streams, verbose, json,,,
0.95,0.002776,0.0012,1.9101,0.1304,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w20000
1.69,0.002776,0.0007,1.2198,0.5770,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w40000
2.79,0.002776,0.0004,1.5688,0.9257,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w60000
3.10,0.036088,0.0046,1.5001,1.0513,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w80000
4.22,0.004164,0.0004,1.5594,1.3289,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w100000
4.77,0.043028,0.0036,4.7721,1.4385,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w120000
5.53,0.016056,0.0012,1.4631,1.6295,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w140000
6.21,0.060472,0.0039,1.3624,1.7239,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w160000
6.68,0.074952,0.0045,1.5931,1.8190,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w180000
6.85,0.077128,0.0045,1.5286,1.9003,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w200000
6.88,0.054432,0.0032,1.6161,1.7969,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w220000
7.44,0.052744,0.0028,2.3977,1.8675,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w240000
7.34,0.161008,0.0087,1.5850,0.6022,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w260000
7.35,0.248452,0.0134,2.2887,1.8583,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w280000
7.59,0.122144,0.0064,1.6560,1.9503,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w300000
7.02,0.206812,0.0117,1.5167,1.8193,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w320000
7.19,0.248452,0.0137,1.6490,1.0142,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w340000
7.19,0.149904,0.0083,2.5713,1.8915,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w360000
7.88,0.260944,0.0132,1.9905,2.0928,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w380000
9.56,1.067372,0.0099,0.9133,0.4618,1,Germany,Wireless,'-c,'134.209.227.237,'-t90,'-P1,'-V,'-J,'-O-O
7.95,0.169848,0.0019,0.9228,1.5832,1,Germany,Wireless,'-c,'134.209.227.237,'-t90,'-P1,'-V,'-J,'-O-O
13.37,0.158800,0.0011,1.4741,1.9571,1,Germany,Wireless,'-c,'134.209.227.237,'-t90,'-P1,'-V,'-J,'-O-O
3.32,0.181136,0.0048,0.9663,0.1537,1,Germany,Wireless,'-c,'iperf.biznetnetworks.com,'-t90,'-P1,'-V,'-J,'-O-O
75.22,0.148704,0.0002,3.8131,6.7479,1,Germany,Wireless,'-c,'10.254.145.232,'-t90,'-P1,'-V,'-J,'-O-O
2.04,0.202120,0.0763,4.2406,0.0611,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O-O
2.85,0.440640,0.1164,6.1737,0.8931,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O-O
5.31,0.465944,0.0679,4.2670,1.1441,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O-O
8.01,0.947792,0.0903,3.0643,2.1761,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O-O
1.84,1.776912,0.5575,3.5052,0.4159,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O-O
